month,denominator,numerator,raw_ratio,normalized
2021-01,103636,58938,0.5687019954455981,102.18779898276824
2021-02,116469,63793,0.547725145746937,98.41855231673719
2021-03,138443,74407,0.5374558482552386,96.57330310681719
2021-04,125633,68076,0.5418640007004529,97.36538648187904
2021-05,120981,67354,0.5567320488341144,100.03696689854044
2021-06,130271,70498,0.541164188499359,97.2396400116648
2021-07,118741,64278,0.5413294481265949,97.269334856598
2021-08,118048,63155,0.5349942396313364,96.13098644668929
2021-09,131136,69955,0.5334538189360664,95.85419438051443
2021-10,143295,78101,0.5450364632401689,97.93543365400976
2021-11,149081,82575,0.5538935209718207,99.52692312003781
2021-12,121511,65440,0.5385520652451219,96.77027797643395
2022-01,112633,62887,0.5583354789448918,100.32508087590509
2022-02,125886,70026,0.5562651923168581,99.95307930834164
2022-03,143722,80928,0.5630870708729353,101.17887552526376
2022-04,130462,72684,0.5571277460103325,100.10806814985528
2022-05,146357,82657,0.5647628743415074,101.4799939833534
2022-06,138358,73505,0.5312667138871623,95.46120217566647
2022-07,134176,70630,0.52639816360601,94.58639174515606
2022-08,151407,81281,0.536837794817941,96.46224754359257
2022-09,160005,82796,0.5174588294115808,92.98011834886815
2022-10,159838,85080,0.5322889425543362,95.64488237793786
2022-11,168014,91794,0.5463473281988406,98.17097776316193
2022-12,141339,72876,0.5156114023730181,92.64816153429067
2023-01,147435,77108,0.5229965747617594,93.9751737789417
2023-02,150915,83206,0.5513434714905742,99.06871487411536
2023-03,183148,103225,0.5636152182934021,101.27377623401482
2023-04,156172,85829,0.5495799503111953,98.75183476955547
2023-05,165714,92417,0.557689754637508,100.20905324412314
2023-06,161695,86025,0.5320201614150097,95.59658616435709
2023-07,162240,90277,0.5564410749506903,99.98468295906652
2023-08,171090,99639,0.5823776959495003,104.64513119758898
2023-09,166990,91767,0.5495359003533146,98.74391960787648
2023-10,173273,96856,0.5589791831387464,100.44074552152398
2023-11,173898,100575,0.5783562778180312,103.92253857274292
2023-12,151566,81753,0.5393887811250544,96.9206241240279
2024-01,143289,80034,0.558549504846848,100.36353833872631
2024-02,153002,86337,0.5642867413497863,101.39443954036442
2024-03,156879,86899,0.5539237246540327,99.53235029952926
2024-04,159293,85825,0.5387870151230751,96.81249518525613
2024-05,173010,94524,0.5463499219698283,98.17144382755141
2024-06,159624,85203,0.5337731168245377,95.91156774776834
2024-07,169747,91486,0.5389550330786406,96.84268566323284
2024-08,155449,86852,0.5587170068639875,100.39363610977993
2024-09,163027,89557,0.549338453139664,98.70844110359863
2024-10,177144,98448,0.5557512532177212,99.8607316363226
2024-11,180000,103736,0.5763111111111111,103.55505070386486
2024-12,142955,81332,0.5689342800181876,102.2295372734735
2025-01,168834,100790,0.596976912233318,107.26840628869849
2025-02,153139,90787,0.5928404913183448,106.52514927122276
2025-03,167659,99921,0.5959775496692692,107.08883480552495
2025-04,166726,101605,0.6094130489545722,109.50300621901528
2025-05,179292,107028,0.5969479954487651,107.2632103467275
2025-06,170453,98807,0.5796729890351006,104.15913317280724
2025-07,205013,117702,0.5741196899708799,103.16128295773788
2025-08,177831,101322,0.5697656764006276,102.37892758172661
2025-09,177877,99885,0.561539715646205,100.90083742071982
2025-10,303352,183641,0.605372636409188,108.77700056350204
2025-11,401080,249009,0.6208462152189089,111.55738637824292
2025-12,361159,200593,0.5554146511647224,99.80024895258931
